latitude,longitude,frequency
42.418,-71.07300000000001,2
42.354,-71.116,6
42.328,-71.116,1024
42.335,-71.038,129
42.387,-71.103,5
42.322,-71.092,4
42.36,-71.119,59
42.550000000000004,-71.166,1
42.346000000000004,-71.081,187
42.459,-71.048,4
42.381,-71.08200000000001,9
42.373,-71.101,1069
42.394,-71.123,63
42.357,-71.138,50
42.307,-71.123,10
42.38,-71.128,20
42.300000000000004,-71.05,718
42.37,-71.106,29
42.372,-71.132,347
42.302,-71.049,1026
42.342,-71.101,11
42.373,-71.058,533
42.253,-71.297,4
42.355000000000004,-71.061,4855
42.392,-71.126,55
42.349000000000004,-71.132,15
42.372,-71.118,192
42.333,-71.112,26
42.358000000000004,-71.173,52
42.388,-71.124,9
42.300000000000004,-71.102,1130
42.618,-71.293,1
42.339,-71.025,10
42.374,-71.066,20
42.359,-71.115,31
42.353,-71.092,64
42.432,-71.146,3
42.297000000000004,-71.125,6
42.347,-71.08500000000001,237
42.351,-71.066,219
43.028,-71.411,1
42.245,-71.28,1
42.359,-71.072,174
42.273,-71.108,133
42.382,-71.09100000000001,35
43.02,-71.406,1
42.312,-71.106,82
42.363,-71.118,1947
42.382,-71.141,14
42.237,-71.134,3
42.349000000000004,-71.09,438
42.352000000000004,-71.07300000000001,898
42.334,-71.09,232
42.451,-71.138,1
42.301,-71.127,31
42.347,-71.112,75
42.588,-71.276,2
42.342,-71.298,6
42.336,-71.043,40
42.373,-71.099,178
42.374,-71.063,433
42.311,-71.037,301
42.463,-70.958,11
42.374,-71.108,46
42.352000000000004,-71.162,42
42.355000000000004,-71.135,11
42.411,-71.052,20
42.373,-71.081,43
42.325,-71.259,20
42.362,-71.099,172
42.361000000000004,-71.057,1662
42.421,-71.007,9
42.366,-71.063,702
42.362,-71.081,668
42.993,-71.38,1
42.82,-71.253,1
42.347,-71.052,11
42.242,-71.127,611
42.341,-71.149,26
42.558,-71.188,1
42.491,-71.134,3
42.63,-71.311,6
42.339,-71.107,48
42.45,-71.047,5
42.319,-71.046,5
42.597,-71.283,4
42.47,-70.896,9
42.318,-71.08200000000001,10
42.368,-71.115,10
42.39,-71.114,46
42.312,-71.046,297
42.409,-71.147,9
42.375,-71.119,31
42.367000000000004,-71.055,980
42.339,-71.087,4
42.382,-71.071,97
42.338,-71.103,30
42.332,-71.128,22
42.587,-71.254,1
42.337,-71.049,69
42.378,-71.048,3
42.491,-71.155,1
43.174,-71.484,1
42.334,-71.111,25
42.372,-71.081,18
42.365,-71.105,122
42.341,-71.146,2
42.348,-71.05,48
42.346000000000004,-71.111,96
42.362,-71.07900000000001,4591
42.397,-71.131,71
42.274,-71.205,2
42.362,-71.061,2090
42.341,-71.124,316
42.327,-71.116,675
42.315,-71.124,939
42.379,-71.095,18
42.33,-71.08500000000001,25
42.25,-71.123,195
42.45,-71.068,8
42.323,-71.045,13
42.327,-71.058,25
42.293,-71.048,265
42.366,-71.121,6
42.35,-71.096,4422
42.27,-71.084,3
42.459,-71.103,1
42.354,-71.10000000000001,775
42.593,-71.282,6
42.258,-71.279,1
42.373,-71.112,87
42.473,-70.892,15
42.386,-71.114,178
42.442,-71.143,7
42.293,-71.12,4
42.386,-71.10000000000001,1
42.296,-71.049,10
42.427,-71.016,2
42.401,-71.123,334
42.381,-71.131,5
42.362,-71.112,10
42.255,-71.116,588
42.345,-71.08,1
42.367000000000004,-71.075,1204
42.294000000000004,-71.081,165
42.623,-71.301,2
42.329,-71.126,19
42.323,-71.10000000000001,68
42.293,-71.131,55
42.358000000000004,-71.149,4
42.349000000000004,-71.125,261
42.299,-71.125,685
42.346000000000004,-71.036,774
42.427,-71.065,1
42.375,-71.06,4
42.39,-71.042,1
42.358000000000004,-71.164,14
42.34,-71.035,28
42.345,-71.13,2
42.374,-71.07300000000001,22
42.342,-71.055,112
42.35,-71.056,205
42.453,-70.976,10
42.341,-71.083,169
42.454,-71.136,1
42.534,-71.16,4
42.37,-71.127,2476
42.268,-71.214,1
42.247,-71.038,1
42.383,-71.114,116
42.34,-71.128,245
42.326,-71.053,19
42.287,-71.137,11
42.294000000000004,-71.114,9
42.475,-70.887,10
42.368,-71.06700000000001,120
42.279,-71.107,421
42.338,-71.08500000000001,101
42.562,-71.194,1
42.273,-71.07600000000001,6
